Fighter,ELO
Jon Jones,1826.8766221197802
Georges St-Pierre,1776.8913063581351
Islam Makhachev,1773.3143102755866
Francis Ngannou,1764.7088987536852
Max Holloway,1740.7922523202144
Amanda Nunes,1725.1446897548033
Ilia Topuria,1717.8498997695401
Khabib Nurmagomedov,1716.6384266460614
Alex Pereira,1715.3398596499687
Kamaru Usman,1707.4606665117242
Stipe Miocic,1700.5697219395317
Valentina Shevchenko,1698.5672131184124
Anthony Johnson,1698.3951749719117
Dustin Poirier,1695.5693630709272
Charles Oliveira,1692.3572405781913
Demetrious Johnson,1689.0998120854015
Merab Dvalishvili,1686.3753471708262
Magomed Ankalaev,1684.904357460245
Alexander Volkanovski,1682.4983606515195
Tom Aspinall,1681.4256288471308
Cain Velasquez,1680.9787747462117
Ciryl Gane,1680.3300992831216
Khamzat Chimaev,1679.459294792022
Carlos Ulberg,1679.1875208806036
Alexander Volkov,1679.1707486119155
Daniel Cormier,1678.8113673018145
Michael Morales,1675.446729000108
Arman Tsarukyan,1674.9523645231131
Dricus Du Plessis,1674.689558705284
Aljamain Sterling,1672.5663467984793
Ian Machado Garry,1668.4720363081315
Belal Muhammad,1667.378544607825
Petr Yan,1664.6443304206075
Gegard Mousasi,1663.2220068378597
Justin Gaethje,1662.9253007814511
Lerone Murphy,1662.2615703464223
Jack Della Maddalena,1661.7702650933045
Nassourdine Imavov,1660.3260789069593
Carlos Prates,1659.839032188298
Glover Teixeira,1659.8011219710884
Cory Sandhagen,1659.0274742869703
Robert Whittaker,1658.840022920803
Leon Edwards,1657.2999267406317
Derrick Lewis,1655.8382846476654
Ryan Bader,1653.3366158133852
Conor McGregor,1651.067489655785
Curtis Blaydes,1650.9741649689447
Don Frye,1649.165956455576
Sergei Pavlovich,1648.9320140583086
Song Yadong,1648.6788622567956
Michael Bisping,1648.2528669634416
Arnold Allen,1648.1235286590986
Sean O'Malley,1647.7565263638915
Brendan Allen,1646.4069289317797
Steve Garcia,1645.9956154199454
Movsar Evloev,1645.6050621319523
John Lineker,1644.7931170932072
Deiveson Figueiredo,1644.5755721626992
TJ Dillashaw,1644.2029605208843
Joaquin Buckley,1643.774962739643
Maycee Barber,1643.3574682689834
Shavkat Rakhmonov,1641.5486580140416
Francisco Trinaldo,1639.9157947724464
