Fighter,ELO,Streak,Avg_Opp_ELO,Months_Inactive,Total_Fights,Weight_Class
Scott Morris,1491.55,0,1504.71,387.0,2,Open Weight
Sean Daugherty,1484.0,0,1500.0,387.0,1,Open Weight
Royce Gracie,1594.99,0,1552.09,238.4,9,Open Weight
Patrick Smith,1548.32,4,1505.33,370.7,5,Open Weight
Remco Pardoel,1525.15,1,1508.02,368.8,5,Open Weight
Johnny Rhodes,1523.71,2,1492.0,387.0,3,Open Weight
Jason DeLucia,1478.27,0,1512.97,317.7,3,Middleweight
Orlando Wiet,1500.7,1,1492.55,387.0,2,Open Weight
Fred Ettish,1483.21,0,1482.9,387.0,1,Open Weight
Ray Wizard,1483.68,0,1493.1,387.0,1,Open Weight
Minoki Ichihara,1486.43,0,1553.11,387.0,1,Open Weight
Scott Baker,1483.35,0,1485.78,387.0,1,Open Weight
Alberta Cerra Leon,1484.47,0,1510.13,387.0,1,Open Weight
Robert Lucarelli,1474.27,0,1474.97,387.0,1,Open Weight
Frank Hamaker,1516.0,1,1500.0,387.0,1,Open Weight
Thaddeus Luster,1484.0,0,1500.0,387.0,1,Open Weight
David Levicki,1475.98,0,1499.68,387.0,1,Open Weight
Steve Jennum,1521.96,0,1506.21,365.5,3,Open Weight
Harold Howard,1476.36,0,1494.31,368.8,3,Open Weight
Ken Shamrock,1511.96,0,1620.51,233.8,11,Light Heavyweight
Felix Lee Mitchell,1447.86,0,1505.15,353.6,3,Open Weight
Roland Payne,1474.34,0,1476.0,381.0,1,Open Weight
Christophe Leninger,1464.86,0,1538.11,347.8,2,Lightweight
Keith Hackney,1510.53,0,1538.64,365.5,4,Open Weight
Emmanuel Yarborough,1476.0,0,1500.0,381.0,1,Open Weight
Kimo Leopoldo,1481.82,0,1520.98,261.9,6,Heavyweight
Dan Severn,1571.04,0,1578.44,307.5,13,Heavyweight
Marcus Bossett,1492.19,0,1495.97,353.6,3,Open Weight
Melton Bowen,1485.1,0,1524.0,377.7,1,Open Weight
Anthony Macias,1494.8,1,1499.38,370.7,3,Open Weight
Ron van Clief,1488.69,0,1604.92,377.7,1,Open Weight
Guy Mezger,1546.1,0,1505.06,326.4,5,Middleweight
Jason Fairn,1476.0,0,1500.0,377.7,1,Open Weight
Eldo Xavier Dias,1474.86,0,1483.46,377.7,1,Open Weight
Joe Son,1484.49,0,1510.54,377.7,1,Open Weight
Joe Charles,1502.35,0,1528.1,341.0,4,Heavyweight
Kevin Rosier,1484.0,0,1500.0,377.7,1,Open Weight
Dave Beneteau,1516.85,1,1522.49,343.2,6,Heavyweight
Asbel Cancio,1476.0,0,1500.0,374.0,1,Open Weight
John Dowdy,1477.66,0,1524.0,374.0,1,Open Weight
Jon Hess,1524.0,1,1500.0,374.0,1,Open Weight
Andy Anderson,1476.0,0,1500.0,374.0,1,Open Weight
Todd Medina,1492.55,0,1512.0,374.0,2,Open Weight
Larry Cureton,1470.56,0,1520.06,368.8,2,Open Weight
Oleg Taktarov,1557.66,2,1541.98,365.5,8,Open Weight
Ernie Verdicia,1484.0,0,1500.0,374.0,1,Open Weight
David Abbott,1473.44,0,1497.97,269.0,18,Heavyweight
Paul Varelans,1493.76,0,1520.14,353.6,8,Open Weight
Joel Sutton,1546.34,2,1500.0,368.8,2,Open Weight
Jack McGlaughlin,1476.0,0,1500.0,370.7,1,Open Weight
Rudyard Moncayo,1485.56,0,1533.88,370.7,1,Open Weight
Cal Worsham,1479.1,0,1506.46,353.6,3,Open Weight
John Matua,1476.66,0,1509.49,370.7,1,Open Weight
He-Man Gipson,1473.84,0,1468.64,370.7,1,Open Weight
Marco Ruas,1524.67,0,1519.28,321.9,6,Heavyweight
Mark Hall,1533.27,1,1552.49,353.6,7,Open Weight
Gerry Harris,1475.56,0,1493.68,368.8,1,Open Weight
Scott Bessac,1499.27,0,1500.1,365.5,2,Open Weight
David Hood,1484.0,0,1500.0,368.8,1,Open Weight
Onassis Parungao,1524.0,1,1500.0,368.8,1,Open Weight
Francesco Maturi,1476.0,0,1500.0,368.8,1,Open Weight
Geza Kalman,1503.2,1,1512.0,358.6,2,Open Weight
Ryan Parker,1484.44,0,1509.59,368.8,1,Open Weight
Trent Jenkins,1484.38,0,1508.22,365.5,1,Open Weight
Don Frye,1634.75,5,1522.57,353.6,10,Open Weight
Gary Goodridge,1524.35,1,1546.37,326.4,8,Heavyweight
Jerry Bohlander,1527.75,0,1518.96,328.2,7,Middleweight
Sam Adkins,1502.26,0,1500.38,356.2,4,Open Weight
Keith Mielke,1474.46,0,1477.66,363.5,1,Open Weight
Scott Ferrozzo,1514.89,0,1508.0,351.6,5,Heavyweight
Joe Moreira,1500.97,1,1502.61,345.9,2,Lightweight
Thomas Ramirez,1479.18,0,1546.34,363.5,1,Open Weight
Paul Herrera,1476.11,0,1501.66,363.5,1,Open Weight
Steve Nelmark,1516.14,1,1509.6,353.6,3,Open Weight
Tai Bowden,1501.66,1,1500.0,353.6,2,Open Weight
Zane Frazier,1474.23,0,1474.27,360.4,1,Open Weight
Rafael Carino,1524.0,1,1500.0,360.4,1,Open Weight
